"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Users","Дымовые тесты","Открытие формы объекта ""Оплата""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""ХранимыеФайлы""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""СписокАктивныхПользователей""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""РедактированиеЦен""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""Встречи""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""Валюты""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""Характеристики""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""СостояниеВходящихПисем""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""ДемонстрацияВозможностейДиаграмм""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""РасходТовара""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""Банки""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""VAExtension_ДанныеТекущегоОкна""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""Продажи""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""Валюты""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""РасчетныеСчетаКонтрагентов""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""Товары""","0","0","1","0","0"
"Users","проверка  Движения документа Расход товара","_0307 Регистр Взаиморасчеты","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""Пользователи""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""ПоступлениеДенег""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""Регионы""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""ЭлектроннаяПочта""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""Заказ""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""Взаиморасчеты""","0","0","1","0","0"
"Users","Документ Заказ Продавец","_0403 Документ Заказ Продавец","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""СостояниеВходящихПисем""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""Контрагенты""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы списка ""Склады""","0","0","1","0","0"
"Users","Товары добавление внешних файлов","_0102 добавление файла и перевыбор","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""ПоступлениеДенег""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""ОперацияПоУчетуТоваров""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""УдалениеПомеченныхОбъектов""","0","0","1","0","0"
"Users","Дымовые тесты","Открытие формы объекта ""ХранилищеВариантовОтчетов""","0","0","1","0","0"
