"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 13:09:58 MSK 2022","Wed Jun 29 13:10:21 MSK 2022","22593","","тестирование отчета остатки (D4011_FreeStocks)","","","","_0201 Тестирование отчета D4011_FreeStocks (Свободные остатки)",""
"skipped","Wed Jun 29 13:10:23 MSK 2022","Wed Jun 29 13:10:23 MSK 2022","0","","тестирование отчета остатки (D4011_FreeStocks)","","","","_0201 подготовительный (экспорт данных)",""
